Type,Square Item,Square Variation,Square SKU,Shopify Product,Details,Score
multi-variant-match,Kryptonite (Hybrid/Indica - 31.68% THCA),28 Grams,Y746506,Kryptonite (Hybrid - 31.68% THCA),7 Grams(KRYPTONITE-7) | 28 Grams(KRYPTONITE-28),""
multi-variant-match,Kundalini Sherbet (Hybrid- 30.64% THCA),3.5 Grams,3225101,Kundalini Sherbet (Hybrid - 30.64% THCA),7 Grams(KUNDALINISHERBET-7) | 14 Grams(KUNDALINISHERBET-14) | 28 Grams(KUNDALINISHERBET-28) | 3.5 Grams(KUNDALINISHERBET-3.5),""
multi-variant-match,Kundalini Sherbet (Hybrid- 30.64% THCA),7 Grams,289125Y,Kundalini Sherbet (Hybrid - 30.64% THCA),7 Grams(KUNDALINISHERBET-7) | 14 Grams(KUNDALINISHERBET-14) | 28 Grams(KUNDALINISHERBET-28) | 3.5 Grams(KUNDALINISHERBET-3.5),""
multi-variant-match,Kundalini Sherbet (Hybrid- 30.64% THCA),14 Grams,M925494,Kundalini Sherbet (Hybrid - 30.64% THCA),7 Grams(KUNDALINISHERBET-7) | 14 Grams(KUNDALINISHERBET-14) | 3.5 Grams(KUNDALINISHERBET-3.5),""
multi-variant-match,Kundalini Sherbet (Hybrid- 30.64% THCA),28 Grams,J264940,Kundalini Sherbet (Hybrid - 30.64% THCA),7 Grams(KUNDALINISHERBET-7) | 28 Grams(KUNDALINISHERBET-28) | 3.5 Grams(KUNDALINISHERBET-3.5),""
multi-variant-match,Helium (Hybrid - 31.76% THCA),3.5 Grams,327967R,Helium (indica - 31.76% THCA),7 Grams(HELIUM-7) | 14 Grams(HELIUM-14) | 28 Grams(HELIUM-28),""
multi-variant-match,Helium (Hybrid - 31.76% THCA),7 Grams,8391604,Helium (indica - 31.76% THCA),7 Grams(HELIUM-7) | 14 Grams(HELIUM-14) | 28 Grams(HELIUM-28),""
multi-variant-match,Helium (Hybrid - 31.76% THCA),14 Grams,256955Y,Helium (indica - 31.76% THCA),7 Grams(HELIUM-7) | 14 Grams(HELIUM-14),""
multi-variant-match,Helium (Hybrid - 31.76% THCA),28 Grams,S796518,Helium (indica - 31.76% THCA),7 Grams(HELIUM-7) | 28 Grams(HELIUM-28),""
multi-variant-match,Benzina Live Rosin (63.51% THCA),5 Grams,528881H,Benzina Tier 2 Rosin (Indica - 63.51% THCA),5 Grams(DSLR5) | 25 Grams(BENZINA-25),""
multi-variant-match,Jelly Donut Live Rosin (62.21% THCA),5 Grams,6573988,Jelly Donut Tier 2 Rosin (Hybrid - 62.21% THCA),5 Grams(DSLR5) | 25 Grams(JELLYDONUT-25),""
multi-variant-match,Orange Krush Live Rosin (62.52% THCA),5 Grams,F456423,Orange Crush Tier 2 Rosin (Sativa - 62.52% THCA),5 Grams(DSLR5) | 25 Grams(ORANGECRUSH-25),""
multi-variant-match,Honey Banana Live Rosin (62.31% THCA),5 Grams,F390376,Honey Banana Tier 2 Rosin (Hybrid - 62.31% THCA),5 Grams(DSLR5) | 25 Grams(HONEYBANANA-25),""
multi-variant-match,Papaya Crush Live Rosin (62.22% THCA),5 Grams,W453742,Papaya Crush Tier 2 Rosin (Sativa - 62.22% THCA),5 Grams(DSLR5) | 25 Grams(PAPAYACRUSH-25),""
multi-variant-match,Trop Z Live Resin (Sativa - 81.35% THCA),2.5 Grams,602138S,Trop Z Live Resin (Sativa - 81.35% THCA),2.5 Grams(agzoap2.5) | 5 Grams(agzoap5) | 10 Grams(agzoap10) | 25 Grams(agzoap25),""
multi-variant-match,Trop Z Live Resin (Sativa - 81.35% THCA),5 Grams,T199514,Trop Z Live Resin (Sativa - 81.35% THCA),2.5 Grams(agzoap2.5) | 5 Grams(agzoap5) | 10 Grams(agzoap10) | 25 Grams(agzoap25),""
multi-variant-match,Trop Z Live Resin (Sativa - 81.35% THCA),10 Grams,789430Q,Trop Z Live Resin (Sativa - 81.35% THCA),2.5 Grams(agzoap2.5) | 5 Grams(agzoap5) | 10 Grams(agzoap10),""
multi-variant-match,Trop Z Live Resin (Sativa - 81.35% THCA),25 Grams,6685603,Trop Z Live Resin (Sativa - 81.35% THCA),2.5 Grams(agzoap2.5) | 5 Grams(agzoap5) | 25 Grams(agzoap25),""
weak-item-match,Biscotti Live Resin (Hybrid - 80.72% THCA),,"271439N,H734809,4624798,J526812",,"""Liquid Flower"" THCA Live Resin Disposable Vape",0.27
