Action,Shopify Product,Variant,SKU,Qty,Best Square Item,Score
ALIGN,Kundalini Sherbet (Hybrid - 30.64% THCA),7 Grams,KUNDALINISHERBET-7,60,Kundalini Sherbet (Hybrid- 30.64% THCA),0.86
ALIGN,Mother of Berries (Indica - 16.91% THCA),7 Grams,MOTHERBERRIES-7,60,Mother of Berries (Indica - 14.83% THCA),0.5
ALIGN,30mg THC Gummies - Blood Orange - Sativa,12 Count,689745640858,57,via SKU,1.0
ALIGN,30mg THC Gummies - Blue Raspberry - Sativa,12 Count,689745640858,57,via SKU,1.0
ALIGN,Alien Hallucination (Hybrid - 31.09% THCA),7 Grams,ALIENHALLUCINATION-7,55,Alien Hallucination (Hybrid - 20.5% THCA),0.5
ALIGN,30mg THC Gummies - Wild Cherry - Indica,12 Count,689745640803,53,via SKU,1.0
REVIEW,CBD Pet Treats,Default Title,PETTREAT,51,CBD Pet Treats - Peanut Butter Pumpkin 30ct,0.33
ALIGN,30mg THC Gummies - Blood Orange - Sativa,2 Count,689745640834,49,via SKU,1.0
ALIGN,30mg THC Gummies - Wild Cherry - Indica,2 Count,B616646,46,via SKU,1.0
ALIGN,"""Liquid Flower"" THCA Live Resin Disposable Vape",White Bubba (Indica),W408225,44,via SKU,1.0
ALIGN,CBD + CBG Hyaluronic Face and Neck Serum - 300mg Total Cannabinoids,Default Title,689745640629,44,via SKU,1.0
ALIGN,Papaya Punch Live Resin (Indica - 82.67% THCA),10 Grams,agzoap10,44,via SKU,1.0
ALIGN,Rest - Wild Berry Nighttime Gummies - CBD + CBN + THC - 15 Count - Indica,Default Title,689745640537,44,via SKU,1.0
ALIGN,Trop Z Live Resin (Sativa - 81.35% THCA),10 Grams,agzoap10,44,via SKU,1.0
ALIGN,King Cone Pre-Roll - THCA,Fusion (Hybrid),5671083,43,via SKU,1.0
ALIGN,50mg CBD Gummy Bears - Broad Spectrum - 15 Count,Default Title,689745640704,38,via SKU,1.0
ALIGN,Liquid Harmony - THC Beverage Enhancer,1oz Bottle,689745640896,38,via SKU,1.0
ALIGN,Liquid Harmony - THC Beverage Enhancer,6oz Bottle,689745640551,38,via SKU,1.0
ALIGN,"""Liquid Flower"" THCA Live Resin Disposable Vape",Kush Krasher (Indica-Dominant Hybrid) THCA 53.03% CBGA 3.73%,KKLF,37,via SKU,1.0
REVIEW,Giraffe Pussy (Hybrid - 28.50% THCA),14 Grams,GIRAFFEPUSSY-14,31,Giraffe Pussy (Sativa Hybrid - 24.42% THCA),0.36
ALIGN,Helium (indica - 31.76% THCA),14 Grams,HELIUM-14,31,Helium (Hybrid - 31.76% THCA),0.5
ALIGN,"3,500mg CBD Oil Drops - Full Spectrum Whole Plant Tincture - Natural Flavor",Default Title,689745640643,30,via SKU,1.0
ALIGN,Kundalini Sherbet (Hybrid - 30.64% THCA),14 Grams,KUNDALINISHERBET-14,30,Kundalini Sherbet (Hybrid- 30.64% THCA),0.75
ALIGN,Mother of Berries (Indica - 16.91% THCA),14 Grams,MOTHERBERRIES-14,30,Mother of Berries (Indica - 14.83% THCA),0.6
ALIGN,"""Liquid Flower"" THCA Live Resin Disposable Vape",Strawnana (Indica),799286E,29,via SKU,1.0
REVIEW,Alien Hallucination (Hybrid - 31.09% THCA),14 Grams,ALIENHALLUCINATION-14,26,Alien Hallucination (Hybrid - 20.5% THCA),0.44
ALIGN,10mg THC + CBD Gummy Squares - Assorted Flavor - Hybrid,3 Count,gummycube3,25,via SKU,1.0
REVIEW,Cherry Diesel Live Resin (Hybrid - 67.86% CBDA),10 Grams,CHERRYDIESEL-10,24,Orange Cheesecake Live Resin (Hybrid - 86.13% THCA),0.29
REVIEW,Cherry Diesel Live Resin (Hybrid - 67.86% CBDA),5 Grams,CHERRYDIESEL-5,23,Orange Cheesecake Live Resin (Hybrid - 86.13% THCA),0.31
REVIEW,Cherry Diesel Live Resin (Hybrid - 67.86% CBDA),25 Grams,CHERRYDIESEL-25,23,Orange Cheesecake Live Resin (Hybrid - 86.13% THCA),0.29
REVIEW,Mango Fire Live Resin (Hybrid - 63.63% CBDA),5 Grams,MANGOFIRE-5,23,Liquid Flower CBDA Live Resin Disposable Vape,0.25
ALIGN,"""Liquid Flower"" THCA Live Resin Disposable Vape",Biscotti (Indica),795560P,22,via SKU,1.0
ALIGN,Citrus Burst Live Resin (Sativa - 83.20% THCA),2.5 Grams,agzoap2.5,20,via SKU,1.0
REVIEW,100mg THC Gummies,Raspberry Sweet Tea,GUM-100-RASSWEET,19,30mg THC Gummies - Blue Raspberry - Sativa,0.33
ALIGN,Orange Cheesecake Live Resin (Indica - 86.13% THCA),5 Grams,agzoap5,19,Orange Cheesecake Live Resin (Hybrid - 86.13% THCA),0.7
ALIGN,Liquid Serenity CBD Beverage Enhancer - THC Free,6oz Bottle,R751387,18,via SKU,1.0
ALIGN,Papaya Punch Live Resin (Indica - 82.67% THCA),25 Grams,agzoap25,18,via SKU,1.0
ALIGN,Trop Z Live Resin (Sativa - 81.35% THCA),25 Grams,agzoap25,18,via SKU,1.0
ALIGN,"3,500mg CBD Oil Drops - Broad Spectrum/THC Free Tincture - Natural Flavor",Default Title,689745640476,17,via SKU,1.0
REVIEW,Deep Sleep Microgels - THC FREE,Default Title,DEEPSLEEP,17,Deep Sleep Microgels,0.43
REVIEW,Mango Fire Live Resin (Hybrid - 63.63% CBDA),2.5 Grams,MANGOFIRE-2.5,17,Liquid Flower CBDA Live Resin Disposable Vape,0.25
ALIGN,Orange Cheesecake Live Resin (Indica - 86.13% THCA),2.5 Grams,agzoap2.5,17,via SKU,1.0
