Action,Shopify Product,Variant,SKU,Qty,Best Square Item,Score
ALIGN,Brez Lemon ElderFlower Social Tonic,2.5mg THC - 4-Pack,brez-lemon-elderflower-social-tonic-2-5m-1,0,via SKU,1.0
ALIGN,Brez Lemon ElderFlower Social Tonic,2.5mg THC - 12-Pack,brez-lemon-elderflower-social-tonic-2-5m-2,0,via SKU,1.0
ALIGN,Brez Lemon ElderFlower Social Tonic,5mg THC - Single,brez-lemon-elderflower-social-tonic-5mg-,0,via SKU,1.0
ALIGN,Brez Lemon ElderFlower Social Tonic,5mg THC - 4-Pack,brez-lemon-elderflower-social-tonic-5mg--1,0,via SKU,1.0
ALIGN,Brez Lemon ElderFlower Social Tonic,5mg THC - 12-Pack,brez-lemon-elderflower-social-tonic-5mg--2,0,via SKU,1.0
ALIGN,Brez Lemon ElderFlower Social Tonic,10mg THC - Single,brez-lemon-elderflower-social-tonic-10mg,0,via SKU,1.0
ALIGN,Brez Lemon ElderFlower Social Tonic,10mg THC - 4-Pack,brez-lemon-elderflower-social-tonic-10mg-1,0,via SKU,1.0
ALIGN,Brez Lemon ElderFlower Social Tonic,10mg THC - 12-Pack,brez-lemon-elderflower-social-tonic-10mg-2,0,via SKU,1.0
ALIGN,Brez Lemon ElderFlower Social Tonic,Amplify Watermelon,139453R,0,via SKU,1.0
ALIGN,Brez Lemon ElderFlower Social Tonic,Amplify Watermelon 4-Pack,772514Z,0,via SKU,1.0
ALIGN,bubbles,Regular,8277197,0,via SKU,1.0
ALIGN,Butane fuel,Regular,T943804,0,via SKU,1.0
ALIGN,butter knife,Regular,1923405,0,via SKU,1.0
ALIGN,Can Topper,Regular,782244Q,0,via SKU,1.0
ALIGN,Candy Gelada Live Rosin (75.93% THCA),1 Gram,L464304,0,via SKU,1.0
ALIGN,Candy Gelada Live Rosin (75.93% THCA),5 Grams,A398265,0,via SKU,1.0
ALIGN,Cannabis Candle,Regular,7580695,0,via SKU,1.0
ALIGN,Cap Junky (Hybrid- 32.13% THCA),3.5 Grams,4975570,0,via SKU,1.0
ALIGN,Cap Junky (Hybrid- 32.13% THCA),7 Grams,C250138,0,via SKU,1.0
ALIGN,Cap Junky (Hybrid- 32.13% THCA),14 Grams,H660164,0,via SKU,1.0
ALIGN,Cap Junky (Hybrid- 32.13% THCA),28 Grams,B600211,0,via SKU,1.0
ALIGN,Cap Junky (Hybrid- 32.13% THCA),3.5 Grams,5886015,0,via SKU,1.0
ALIGN,Cap Junky (Hybrid- 32.13% THCA),7 Grams,6017571,0,via SKU,1.0
ALIGN,Cap Junky (Hybrid- 32.13% THCA),14 Grams,869506H,0,via SKU,1.0
ALIGN,Cap Junky (Hybrid- 32.13% THCA),28 Grams,6379660,0,via SKU,1.0
ALIGN,CBD Pet Treats - Peanut Butter Pumpkin 30ct,Regular,PETNUGS,0,via SKU,1.0
ALIGN,Cinderella 99 (Sativa - 25.65% THCA),3.5 Grams,481420E,0,via SKU,1.0
ALIGN,Cinderella 99 (Sativa - 25.65% THCA),7 Grams,L277028,0,via SKU,1.0
ALIGN,Cinderella 99 (Sativa - 25.65% THCA),14 Grams,594974C,0,via SKU,1.0
ALIGN,Cinderella 99 (Sativa - 25.65% THCA),28 Grams,753142F,0,via SKU,1.0
ALIGN,clipper lighter,Regular,8446800,0,via SKU,1.0
ALIGN,Columbian Gold (Sativa - 20.29% THCA),3.5 Grams,256104F,0,via SKU,1.0
ALIGN,Columbian Gold (Sativa - 20.29% THCA),7 Grams,R137201,0,via SKU,1.0
ALIGN,Columbian Gold (Sativa - 20.29% THCA),14 Grams,267425B,0,via SKU,1.0
ALIGN,Columbian Gold (Sativa - 20.29% THCA),28 Grams,M863871,0,via SKU,1.0
ALIGN,Crunchy Lavender,Single Can,740872H,0,via SKU,1.0
ALIGN,Crunchy Lavender,4-Pack,A327678,0,via SKU,1.0
ALIGN,Crunchy Lime,Single Can,B139277,0,via SKU,1.0
ALIGN,Crunchy Lime,4-Pack,573860C,0,via SKU,1.0
ALIGN,Dark Rainbow (Indica - 27.94% THCA),3.5 Grams,938575G,0,via SKU,1.0
ALIGN,Dark Rainbow (Indica - 27.94% THCA),7 Grams,133119G,0,via SKU,1.0
ALIGN,Dark Rainbow (Indica - 27.94% THCA),14 Grams,498177C,0,via SKU,1.0
ALIGN,Dark Rainbow (Indica - 27.94% THCA),28 Grams,S109752,0,via SKU,1.0
ALIGN,Diamond Distillate 1G Vape THC Free,Regular,Y327780,0,via SKU,1.0
ALIGN,Donny Burger (Indica - 24.64% THCA),3.5 Grams,785623C,0,via SKU,1.0
ALIGN,Donny Burger (Indica - 24.64% THCA),7 Grams,N187735,0,via SKU,1.0
ALIGN,Donny Burger (Indica - 24.64% THCA),14 Grams,584023B,0,via SKU,1.0
ALIGN,Donny Burger (Indica - 24.64% THCA),28 Grams,112866E,0,via SKU,1.0
ALIGN,Donny Burger Live Hash Rosin 70-159u,1 Gram,DBLR1,0,via SKU,1.0
ALIGN,Donny Burger Live Hash Rosin 70-159u,5 Grams,DBLR5,0,via SKU,1.0
REVIEW,Dragon (Indica - 31.29% THCA),28 Grams,DRAGON-28,0,Greasy Runtz (Indica - 29.31% THCA),0.44
ALIGN,Fatso Live Hash Rosin 70-159u,1 Gram,115175D,0,via SKU,1.0
ALIGN,Fatso Live Hash Rosin 70-159u,2.5 Grams,N517151,0,via SKU,1.0
ALIGN,Fatso Live Hash Rosin 70-159u,5 Grams,2439165,0,via SKU,1.0
ALIGN,Ferrari (Sativa - 26.31% THCA),3.5 Grams,5519885,0,via SKU,1.0
ALIGN,Ferrari (Sativa - 26.31% THCA),7 Grams,1331329,0,via SKU,1.0
ALIGN,Ferrari (Sativa - 26.31% THCA),14 Grams,Z065232,0,via SKU,1.0
ALIGN,Ferrari (Sativa - 26.31% THCA),28 Grams,7978718,0,via SKU,1.0
ALIGN,Flower 1/4,Regular,Q209761,0,via SKU,1.0
ALIGN,Flower 1/4 35,Regular,4500307,0,via SKU,1.0
ALIGN,Forbidden Gas - (Indica - 24.22% THCA),3.5 Grams,H685920,0,via SKU,1.0
ALIGN,Forbidden Gas - (Indica - 24.22% THCA),7 Grams,120451K,0,via SKU,1.0
ALIGN,Forbidden Gas - (Indica - 24.22% THCA),14 Grams,A940829,0,via SKU,1.0
ALIGN,Forbidden Gas - (Indica - 24.22% THCA),28 Grams,N884026,0,via SKU,1.0
ALIGN,Galactic Cookies (Indica - 30.21%THCA),3.5 Grams,350894A,0,via SKU,1.0
ALIGN,Galactic Cookies (Indica - 30.21%THCA),7 Grams,J247736,0,via SKU,1.0
ALIGN,Galactic Cookies (Indica - 30.21%THCA),14 Grams,639748Z,0,via SKU,1.0
ALIGN,Galactic Cookies (Indica - 30.21%THCA),28 Grams,K166581,0,via SKU,1.0
ALIGN,Garlic Truffle (Hybrid - 26.01% THCA) SMALLS,3.5 Grams,M953089,0,via SKU,1.0
ALIGN,Garlic Truffle (Hybrid - 26.01% THCA) SMALLS,7 Grams,4610882,0,via SKU,1.0
ALIGN,Garlic Truffle (Hybrid - 26.01% THCA) SMALLS,14 Grams,8943607,0,via SKU,1.0
ALIGN,Garlic Truffle (Hybrid - 26.01% THCA) SMALLS,28 Grams,459305P,0,via SKU,1.0
ALIGN,Gas Face Mediums & Smalls (Hybrid - 29.03% THCA),3.5 Grams,266367K,0,via SKU,1.0
ALIGN,Gas Face Mediums & Smalls (Hybrid - 29.03% THCA),7 Grams,V829597,0,via SKU,1.0
ALIGN,Gas Face Mediums & Smalls (Hybrid - 29.03% THCA),14 Grams,4805423,0,via SKU,1.0
ALIGN,Gas Face Mediums & Smalls (Hybrid - 29.03% THCA),28 Grams,6410340,0,via SKU,1.0
ALIGN,Gata 25mg THC Drinks,Lemonade,DRK-25-LEMONADE,0,Gata' Juice - 25mg THC Drinks,0.67
ALIGN,Gata 25mg THC Drinks,Fruit Punch,gata-juice-25mg-thc-drinks-fruit-punch,0,via SKU,1.0
ALIGN,Gata 25mg THC Drinks,Pink Lemonade,DRK-25-PINKLEM,0,Gata' Juice - 25mg THC Drinks,0.57
ALIGN,Gata 25mg THC Drinks,Half & Half,gata-juice-25mg-thc-drinks-half-half,0,via SKU,1.0
ALIGN,Gata 25mg THC Drinks,Sweet Tea,gata-juice-25mg-thc-drinks-sweet-tea,0,via SKU,1.0
ALIGN,Gata Juice Fruit Punch 10mg,Regular,335887J,0,via SKU,1.0
ALIGN,Gelonade x Lemonatti (Sativa - 28.56% THCA),3.5 Grams,8667278,0,via SKU,1.0
ALIGN,Gelonade x Lemonatti (Sativa - 28.56% THCA),7 Grams,1895156,0,via SKU,1.0
ALIGN,Gelonade x Lemonatti (Sativa - 28.56% THCA),14 Grams,7019566,0,via SKU,1.0
ALIGN,Gelonade x Lemonatti (Sativa - 28.56% THCA),28 Grams,7339874,0,via SKU,1.0
ALIGN,Ghost OG (Indica - 25.11% THCA),3.5 Grams,691107Z,0,via SKU,1.0
ALIGN,Ghost OG (Indica - 25.11% THCA),7 Grams,H373449,0,via SKU,1.0
ALIGN,Ghost OG (Indica - 25.11% THCA),14 Grams,148046Z,0,via SKU,1.0
ALIGN,Ghost OG (Indica - 25.11% THCA),28 Grams,1659487,0,via SKU,1.0
ALIGN,Gift Card,Regular,E427650,0,via SKU,1.0
ALIGN,Giraffe Pussy (Sativa Hybrid - 24.42% THCA),3.5 Grams,7699231,0,via SKU,1.0
ALIGN,Giraffe Pussy (Sativa Hybrid - 24.42% THCA),7 Grams,357124D,0,via SKU,1.0
ALIGN,Giraffe Pussy (Sativa Hybrid - 24.42% THCA),14 Grams,7877501,0,via SKU,1.0
ALIGN,Giraffe Pussy (Sativa Hybrid - 24.42% THCA),28 Grams,B282149,0,via SKU,1.0
ALIGN,Glass Bowl - large,Regular,223969Y,0,via SKU,1.0
ALIGN,Glass Bowl - small,Regular,512935X,0,via SKU,1.0
ALIGN,Glass Bowl piece - accessory,Regular,638296A,0,via SKU,1.0
ALIGN,Glass Bubbler - small,Regular,N768264,0,via SKU,1.0
ALIGN,GMO (Indica - 24.21% THCA),3.5 Grams,K441807,0,via SKU,1.0
ALIGN,GMO (Indica - 24.21% THCA),7 Grams,9777112,0,via SKU,1.0
ALIGN,GMO (Indica - 24.21% THCA),14 Grams,N324915,0,via SKU,1.0
ALIGN,GMO (Indica - 24.21% THCA),28 Grams,H599161,0,via SKU,1.0
ALIGN,GMO Bubble Hash (THCA 56.02%),1 Gram,GMOBH1,0,via SKU,1.0
ALIGN,GMO Bubble Hash (THCA 56.02%),5 Grams,GMOBH5,0,via SKU,1.0
ALIGN,GMO Bubble Hash (THCA 56.02%),10 Grams,GMOBH10,0,via SKU,1.0
ALIGN,GMO Live Resin  (86.58% THCA),2.5 Grams,750971F,0,via SKU,1.0
ALIGN,GMO Live Resin  (86.58% THCA),5 Grams,383059M,0,via SKU,1.0
ALIGN,GMO Live Resin  (86.58% THCA),10 Grams,1854353,0,via SKU,1.0
ALIGN,GMO Live Resin  (86.58% THCA),25 Grams,J370035,0,via SKU,1.0
ALIGN,Grape Bubblegum Live Rosin (75.93% THCA),1 Gram,V482000,0,via SKU,1.0
ALIGN,Grape Bubblegum Live Rosin (75.93% THCA),5 Grams,446739R,0,via SKU,1.0
ALIGN,Grape Frosty (Indica - 30.63% THCA),3.5 Grams,K713479,0,via SKU,1.0
ALIGN,Grape Frosty (Indica - 30.63% THCA),7 Grams,L853656,0,via SKU,1.0
ALIGN,Grape Frosty (Indica - 30.63% THCA),14 Grams,460010F,0,via SKU,1.0
ALIGN,Grape Frosty (Indica - 30.63% THCA),28 Grams,5643869,0,via SKU,1.0
ALIGN,grinder,Regular,R661378,0,via SKU,1.0
ALIGN,Gumbo (Indica - 24.19% THCA),3.5 Grams,P720949,0,via SKU,1.0
ALIGN,Gumbo (Indica - 24.19% THCA),7 Grams,3457356,0,via SKU,1.0
ALIGN,Gumbo (Indica - 24.19% THCA),14 Grams,Z827201,0,via SKU,1.0
ALIGN,Gumbo (Indica - 24.19% THCA),28 Grams,E627572,0,via SKU,1.0
ALIGN,Healthy Pet CBD Jerky Sticks - Smokey Flavor,Regular,689745640490,0,via SKU,1.0
ALIGN,Honey Banana Tier 2 Rosin (Hybrid - 62.31% THCA),5 Grams,DSLR5,0,via SKU,1.0
ALIGN,Huckelberry Soda (25.05% THCA) Indica,3.5 Grams,2315017,0,via SKU,1.0
ALIGN,Huckelberry Soda (25.05% THCA) Indica,7 Grams,W262612,0,via SKU,1.0
ALIGN,Huckelberry Soda (25.05% THCA) Indica,14 Grams,B221105,0,via SKU,1.0
ALIGN,Huckelberry Soda (25.05% THCA) Indica,28 Grams,6493281,0,via SKU,1.0
ALIGN,Ice Cream Cake (Hybrid- 32.89% THCA),3.5 Grams,Z302815,0,via SKU,1.0
ALIGN,Ice Cream Cake (Hybrid- 32.89% THCA),7 Grams,5870336,0,via SKU,1.0
ALIGN,Ice Cream Cake (Hybrid- 32.89% THCA),14 Grams,3467875,0,via SKU,1.0
ALIGN,Ice Cream Cake (Hybrid- 32.89% THCA),28 Grams,6914059,0,via SKU,1.0
ALIGN,Insane Pound Cake (Indica - 24.30% THCA),3.5 Grams,Q880446,0,via SKU,1.0
ALIGN,Insane Pound Cake (Indica - 24.30% THCA),7 Grams,9533939,0,via SKU,1.0
ALIGN,Insane Pound Cake (Indica - 24.30% THCA),14 Grams,1175782,0,via SKU,1.0
ALIGN,Insane Pound Cake (Indica - 24.30% THCA),28 Grams,P152051,0,via SKU,1.0
ALIGN,Jack Frosty (Sativa - 29.15% THCA),3.5 Grams,111784X,0,via SKU,1.0
ALIGN,Jack Frosty (Sativa - 29.15% THCA),7 Grams,133420J,0,via SKU,1.0
ALIGN,Jack Frosty (Sativa - 29.15% THCA),14 Grams,F036014,0,via SKU,1.0
ALIGN,Jack Frosty (Sativa - 29.15% THCA),28 Grams,818165S,0,via SKU,1.0
ALIGN,Jack Fruit(Hybrid- 29.89% THCA),3.5 Grams,T015600,0,via SKU,1.0
ALIGN,Jack Fruit(Hybrid- 29.89% THCA),7 Grams,5578232,0,via SKU,1.0
ALIGN,Jack Fruit(Hybrid- 29.89% THCA),14 Grams,9822288,0,via SKU,1.0
ALIGN,Jack Fruit(Hybrid- 29.89% THCA),28 Grams,G816211,0,via SKU,1.0
ALIGN,Jack Herer (Sativa - 37.4% THCA),3.5 Grams,409945C,0,via SKU,1.0
ALIGN,Jack Herer (Sativa - 37.4% THCA),7 Grams,K354445,0,via SKU,1.0
ALIGN,Jack Herer (Sativa - 37.4% THCA),14 Grams,7477972,0,via SKU,1.0
ALIGN,Jack Herer (Sativa - 37.4% THCA),28 Grams,S595691,0,via SKU,1.0
ALIGN,Jelly Donut Tier 2 Rosin (Hybrid - 62.21% THCA),5 Grams,DSLR5,0,via SKU,1.0
ALIGN,Jelly Drip (Hybrid - 31.76% THCA),3.5 Grams,903242Y,0,via SKU,1.0
ALIGN,Jelly Drip (Hybrid - 31.76% THCA),7 Grams,T518052,0,via SKU,1.0
ALIGN,Jelly Drip (Hybrid - 31.76% THCA),14 Grams,V060182,0,via SKU,1.0
ALIGN,Jelly Drip (Hybrid - 31.76% THCA),28 Grams,6938575,0,via SKU,1.0
ALIGN,Jungle Lava (Indica - 30.17% THCA),3.5 Grams,jungle-lava-indica-30-17-thca-3-5-grams,0,via SKU,1.0
ALIGN,Jungle Lava (Indica - 30.17% THCA),7 Grams,jungle-lava-indica-30-17-thca-7-grams,0,via SKU,1.0
ALIGN,Jungle Lava (Indica - 30.17% THCA),14 Grams,jungle-lava-indica-30-17-thca-14-grams,0,via SKU,1.0
ALIGN,Jungle Lava (Indica - 30.17% THCA),28 Grams,jungle-lava-indica-30-17-thca-28-grams,0,via SKU,1.0
ALIGN,Kenetik Drinks,Performance Shot,659926X,0,via SKU,1.0
ALIGN,Kenetik Drinks,Blackberry Lemonade,Y586304,0,via SKU,1.0
ALIGN,Kenetik Drinks,Strawberry Peach,5055309,0,via SKU,1.0
REVIEW,King Cone Pre-Roll - THCA,Super Boof (Hybrid),KINGCONE-5,0,Super Boof (Hybrid - 26.94% THCA),0.4
ALIGN,King Cone Pre-Roll - THCA,Venom OG (Indica),6737903,0,via SKU,1.0
ALIGN,King Cone Pre-Roll - THCA,Grape Cream (Hybrid) 30.52%,KINGCONE-2,0,Grape Cream (Hybrid - 30.52%THCA),0.6
REVIEW,King Cone Pre-Roll - THCA,Blueberry Muffin (Indica),KINGCONE-3,0,Blueberry Muffin (Indica - 28.90% THCA),0.4
REVIEW,King Cone Pre-Roll - THCA,Kryptonite (Hybrid),KINGCONE-4,0,THCA Pre-Roll,0.43
ALIGN,King size paper,Regular,2246763,0,via SKU,1.0
ALIGN,King size paper (black),Regular,W306895,0,via SKU,1.0
ALIGN,Kundalini Sherbet (Hybrid - 30.64% THCA),3.5 Grams,KUNDALINISHERBET-3.5,0,Kundalini Sherbet (Hybrid- 30.64% THCA),0.86
ALIGN,LA Pop Rocks,3.5 Grams,C388313,0,via SKU,1.0
ALIGN,LA Pop Rocks,7 Grams,371714M,0,via SKU,1.0
ALIGN,LA Pop Rocks,14 Grams,J989880,0,via SKU,1.0
ALIGN,LA Pop Rocks,28 Grams,N163964,0,via SKU,1.0
ALIGN,Lambs Breath (Sativa - 23.92% THCA),3.5 Grams,581889Q,0,via SKU,1.0
ALIGN,Lambs Breath (Sativa - 23.92% THCA),7 Grams,528866G,0,via SKU,1.0
ALIGN,Lambs Breath (Sativa - 23.92% THCA),14 Grams,R572816,0,via SKU,1.0
ALIGN,Lambs Breath (Sativa - 23.92% THCA),28 Grams,Z681200,0,via SKU,1.0
ALIGN,Lazer Fuel (Hybrid - 25.99% THCA),3.5 Grams,2479320,0,via SKU,1.0
ALIGN,Lazer Fuel (Hybrid - 25.99% THCA),7 Grams,171954V,0,via SKU,1.0
ALIGN,Lazer Fuel (Hybrid - 25.99% THCA),14 Grams,149068M,0,via SKU,1.0
ALIGN,Lazer Fuel (Hybrid - 25.99% THCA),28 Grams,8075778,0,via SKU,1.0
ALIGN,Lemon Meringue x Cheese (Sativa - 26.38% THCA),3.5 Grams,S374877,0,via SKU,1.0
ALIGN,Lemon Meringue x Cheese (Sativa - 26.38% THCA),7 Grams,M060805,0,via SKU,1.0
ALIGN,Lemon Meringue x Cheese (Sativa - 26.38% THCA),14 Grams,G780015,0,via SKU,1.0
ALIGN,Lemon Meringue x Cheese (Sativa - 26.38% THCA),28 Grams,V578177,0,via SKU,1.0
ALIGN,Lip Smackers Tier 2 Live Rosin (Hybrid - 75.93%),1 Gram,V507592,0,via SKU,1.0
ALIGN,Lip Smackers Tier 2 Live Rosin (Hybrid - 75.93%),5 Gram,Z961410,0,via SKU,1.0
ALIGN,Live Bubble Hash 70-120u,Grape Fog - 1 Gram,GFBH1,0,via SKU,1.0
ALIGN,Live Bubble Hash 70-120u,Grape Fog - 5 Grams,GFBH5,0,via SKU,1.0
ALIGN,Live Bubble Hash 70-120u,Grape Fog - 10 Grams,GFBH10,0,via SKU,1.0
ALIGN,Live Bubble Hash 70-120u,Grape Fog - 25 Grams,GFBH25,0,via SKU,1.0
ALIGN,Live Bubble Hash 70-120u,Gush Mints - 1 Gram,GMBH1,0,via SKU,1.0
ALIGN,Live Bubble Hash 70-120u,Gush Mints - 5 Grams,GMBH5,0,via SKU,1.0
ALIGN,Live Bubble Hash 70-120u,Gush Mints - 10 Grams,GMBH10,0,via SKU,1.0
ALIGN,Live Bubble Hash 70-120u,Gush Mints - 25 Grams,GMBH25,0,via SKU,1.0
ALIGN,Living Water,Peach Honey,201249M,0,via SKU,1.0
ALIGN,Living Water,Mango Guava,5699541,0,via SKU,1.0
ALIGN,mini disc,Regular,955931M,0,via SKU,1.0
ALIGN,Moon Rocks (65.25% THCA),2.5 Grams,1777013,0,via SKU,1.0
ALIGN,Moon Rocks (65.25% THCA),5 Grams,N668539,0,via SKU,1.0
ALIGN,Moon Rocks (65.25% THCA),10 Grams,Z914873,0,via SKU,1.0
ALIGN,Moon Rocks (65.25% THCA),25 Grams,6722595,0,via SKU,1.0
ALIGN,Motor Breath (24.55% THCA Indica),3.5 Grams,K660783,0,via SKU,1.0
ALIGN,Motor Breath (24.55% THCA Indica),7 Grams,C397146,0,via SKU,1.0
ALIGN,Motor Breath (24.55% THCA Indica),14 Grams,7556078,0,via SKU,1.0
ALIGN,Motor Breath (24.55% THCA Indica),28 Grams,F254391,0,via SKU,1.0
ALIGN,Nigerian Haze Live Rosin (THCA 77.46%),1 Gram,NHLR1,0,via SKU,1.0
ALIGN,Nigerian Haze Live Rosin (THCA 77.46%),5 Grams,NHLR5,0,via SKU,1.0
ALIGN,Nigerian Haze Live Rosin (THCA 77.46%),25 Grams,2605403,0,via SKU,1.0
ALIGN,North Spore Spray & Grow,Regular,6855210,0,via SKU,1.0
ALIGN,Orange Crush Tier 2 Rosin (Sativa - 62.52% THCA),5 Grams,DSLR5,0,via SKU,1.0
ALIGN,Panama Red (Sativa - 28.06% THCA),3.5 Grams,655423R,0,via SKU,1.0
ALIGN,Panama Red (Sativa - 28.06% THCA),7 Grams,K796750,0,via SKU,1.0
ALIGN,Panama Red (Sativa - 28.06% THCA),14 Grams,E547522,0,via SKU,1.0
ALIGN,Panama Red (Sativa - 28.06% THCA),28 Grams,L042941,0,via SKU,1.0
ALIGN,Papaya Crush Tier 2 Rosin (Sativa - 62.22% THCA),5 Grams,DSLR5,0,via SKU,1.0
ALIGN,Peakpro powerdock,Regular,592445R,0,via SKU,1.0
ALIGN,Permanent Marker (Indica -25.06 % THCA),3.5 Grams,L679132,0,via SKU,1.0
ALIGN,Permanent Marker (Indica -25.06 % THCA),7 Grams,566671D,0,via SKU,1.0
ALIGN,Permanent Marker (Indica -25.06 % THCA),14 Grams,900285S,0,via SKU,1.0
ALIGN,Permanent Marker (Indica -25.06 % THCA),28 Grams,Q211133,0,via SKU,1.0
ALIGN,Permanent Pineapple (Sativa - 32.90% THCA),3.5 Grams,9148591,0,via SKU,1.0
ALIGN,Permanent Pineapple (Sativa - 32.90% THCA),7 Grams,V318578,0,via SKU,1.0
ALIGN,Permanent Pineapple (Sativa - 32.90% THCA),14 Grams,T104773,0,via SKU,1.0
ALIGN,Permanent Pineapple (Sativa - 32.90% THCA),28 Grams,337584G,0,via SKU,1.0
ALIGN,Pineapple Bang (Sativa- 30.74% THCA),3.5 Grams,F494089,0,via SKU,1.0
ALIGN,Pineapple Bang (Sativa- 30.74% THCA),7 Grams,9930739,0,via SKU,1.0
ALIGN,Pineapple Bang (Sativa- 30.74% THCA),14 Grams,566278X,0,via SKU,1.0
ALIGN,Pineapple Bang (Sativa- 30.74% THCA),28 Grams,M494781,0,via SKU,1.0
ALIGN,Pineapple Trainwreck (Sativa- 32.58% THCA),3.5 Grams,898044F,0,via SKU,1.0
ALIGN,Pineapple Trainwreck (Sativa- 32.58% THCA),7 Grams,C240019,0,via SKU,1.0
ALIGN,Pineapple Trainwreck (Sativa- 32.58% THCA),14 Grams,B541915,0,via SKU,1.0
ALIGN,Pineapple Trainwreck (Sativa- 32.58% THCA),28 Grams,G273282,0,via SKU,1.0
ALIGN,Pre-Packed Chillum,Regular,689745640773,0,via SKU,1.0
ALIGN,Preroll 10,Regular,9388485,0,via SKU,1.0
ALIGN,Preroll 5,Regular,T015316,0,via SKU,1.0
ALIGN,Preroll mini pack,Versace,F908341,0,via SKU,1.0
ALIGN,Preroll mini pack,Apple Tarts,H126160,0,via SKU,1.0
ALIGN,Preroll mini pack,Double Runtz,V681406,0,via SKU,1.0
ALIGN,Preroll mini pack,House Hybrid,G456927,0,via SKU,1.0
ALIGN,Puffco Peak Pro,Regular,323394K,0,via SKU,1.0
ALIGN,Puffco proxy,Regular,192145A,0,via SKU,1.0
ALIGN,Punch Breath (Hybrid - 26.23% THCA),3.5 Grams,9150887,0,via SKU,1.0
ALIGN,Punch Breath (Hybrid - 26.23% THCA),7 Grams,8752996,0,via SKU,1.0
ALIGN,Punch Breath (Hybrid - 26.23% THCA),14 Grams,2009893,0,via SKU,1.0
ALIGN,Punch Breath (Hybrid - 26.23% THCA),28 Grams,7060435,0,via SKU,1.0
ALIGN,Purple Gas (Indica - 25.74% THCA),3.5 Grams,915744C,0,via SKU,1.0
ALIGN,Purple Gas (Indica - 25.74% THCA),7 Grams,6191899,0,via SKU,1.0
ALIGN,Purple Gas (Indica - 25.74% THCA),14 Grams,Y224309,0,via SKU,1.0
ALIGN,Purple Gas (Indica - 25.74% THCA),28 Grams,P576326,0,via SKU,1.0
ALIGN,Purple Haze (Sativa- 30.74% THCA),3.5 Grams,T306931,0,via SKU,1.0
ALIGN,Purple Haze (Sativa- 30.74% THCA),7 Grams,Z833578,0,via SKU,1.0
ALIGN,Purple Haze (Sativa- 30.74% THCA),14 Grams,886503Z,0,via SKU,1.0
ALIGN,Purple Haze (Sativa- 30.74% THCA),28 Grams,S620366,0,via SKU,1.0
ALIGN,Purple Haze Live Rosin (THCA 78.06%),1 Gram,PHLR1,0,via SKU,1.0
ALIGN,Purple Haze Live Rosin (THCA 78.06%),5 Grams,PHLR5,0,via SKU,1.0
ALIGN,Purple Haze Live Rosin (THCA 78.06%),25 Grams,PHLR25,0,via SKU,1.0
ALIGN,Purple Pop Rocks (Hybrid - 29.56% THCA),3.5 Grams,purple-pop-rocks-hybrid-29-56-thca-3-5-g,0,via SKU,1.0
ALIGN,Purple Pop Rocks (Hybrid - 29.56% THCA),7 Grams,purple-pop-rocks-hybrid-29-56-thca-7-gra,0,via SKU,1.0
ALIGN,Purple Pop Rocks (Hybrid - 29.56% THCA),14 Grams,purple-pop-rocks-hybrid-29-56-thca-14-gr,0,via SKU,1.0
ALIGN,Purple Pop Rocks (Hybrid - 29.56% THCA),28 Grams,purple-pop-rocks-hybrid-29-56-thca-28-gr,0,via SKU,1.0
ALIGN,Q7 quartz Taste,Regular,547753N,0,via SKU,1.0
ALIGN,Rain Shadow Runtz (Hybrid - 29.3% THCA),3.5 Grams,834712Q,0,via SKU,1.0
ALIGN,Rain Shadow Runtz (Hybrid - 29.3% THCA),7 Grams,5008268,0,via SKU,1.0
ALIGN,Rain Shadow Runtz (Hybrid - 29.3% THCA),14 Grams,6611915,0,via SKU,1.0
ALIGN,Rain Shadow Runtz (Hybrid - 29.3% THCA),28 Grams,883415T,0,via SKU,1.0
ALIGN,Rest Sample 2ct,Regular,V727538,0,via SKU,1.0
ALIGN,Rise Sample 2ct,Regular,Z161463,0,via SKU,1.0
ALIGN,Roasted 5mg THC Coffee,Regular,J977529,0,via SKU,1.0
ALIGN,Sasquatch Breath (Indica - 28.21% THCa),3.5 Grams,665564T,0,via SKU,1.0
ALIGN,Sasquatch Breath (Indica - 28.21% THCa),7 Grams,250728P,0,via SKU,1.0
ALIGN,Sasquatch Breath (Indica - 28.21% THCa),14 Grams,7611916,0,via SKU,1.0
ALIGN,Sasquatch Breath (Indica - 28.21% THCa),28 Grams,654209E,0,via SKU,1.0
ALIGN,seahorse,Regular,Y720680,0,via SKU,1.0
ALIGN,Seahorse coil,Regular,847154W,0,via SKU,1.0
ALIGN,Sherb Cream Pie (Indica - 26.01% THCA),3.5 Grams,P237037,0,via SKU,1.0
ALIGN,Sherb Cream Pie (Indica - 26.01% THCA),7 Grams,833580V,0,via SKU,1.0
ALIGN,Sherb Cream Pie (Indica - 26.01% THCA),14 Grams,F227709,0,via SKU,1.0
ALIGN,Sherb Cream Pie (Indica - 26.01% THCA),28 Grams,4334064,0,via SKU,1.0
ALIGN,Single wide classic paper,Regular,5311800,0,via SKU,1.0
ALIGN,Small Diamonds (99.17% THCA),5 Grams,179081A,0,via SKU,1.0
ALIGN,Small Diamonds (99.17% THCA),10 Grams,DIA10,0,via SKU,1.0
